artist,track,album_name,album_type,album_date,album_tracks,album_pic,genres,alphaname
Thelonious Monk Quartet,"Rhythm-A-Ning - Live At The Five Spot / August 7, 1958",Thelonious In Action,Album,1958,"Light Blue - Live At The Five Spot / August 7, 1958 (05:14)/Coming On The Hudson - Live At The Five Spot / August 7, 1958 (05:24)/Rhythm-A-Ning - Live At The Five Spot / August 7, 1958 (09:25)/Epistrophy - Theme / Live At The Five Spot / August 7, 1958 (01:05)/Blue Monk - Live At The Five Spot / August 7, 1958 (08:31)/Evidence - Live At The Five Spot / August 7, 1958 (08:48)/Epistrophy - Theme 2 / Live At The Five Spot / August 7, 1958 (01:05)/Unidentified Solo Piano - Live At The Five Spot / July 9, 1958 (01:54)/Blues Five Spot - Live At The Five Spot / July 9, 1958 (09:55)/In Walked Bud / Epistrophy - Live At The Five Spot / July 9, 1958 (10:57",https://i.scdn.co/image/ab67616d00001e02ad4693ff40a3c2cf884daa03,Jazz/Hard Bop/Bebop,
Thelonious Monk Quartet,"Epistrophy - Theme / Live At The Five Spot / August 7, 1958",Thelonious In Action,Album,1958,"Light Blue - Live At The Five Spot / August 7, 1958 (05:14)/Coming On The Hudson - Live At The Five Spot / August 7, 1958 (05:24)/Rhythm-A-Ning - Live At The Five Spot / August 7, 1958 (09:25)/Epistrophy - Theme / Live At The Five Spot / August 7, 1958 (01:05)/Blue Monk - Live At The Five Spot / August 7, 1958 (08:31)/Evidence - Live At The Five Spot / August 7, 1958 (08:48)/Epistrophy - Theme 2 / Live At The Five Spot / August 7, 1958 (01:05)/Unidentified Solo Piano - Live At The Five Spot / July 9, 1958 (01:54)/Blues Five Spot - Live At The Five Spot / July 9, 1958 (09:55)/In Walked Bud / Epistrophy - Live At The Five Spot / July 9, 1958 (10:57",https://i.scdn.co/image/ab67616d00001e02ad4693ff40a3c2cf884daa03,Jazz/Hard Bop/Bebop,
Thelonious Monk Quartet,"Blue Monk - Live At The Five Spot / August 7, 1958",Thelonious In Action,Album,1958,"Light Blue - Live At The Five Spot / August 7, 1958 (05:14)/Coming On The Hudson - Live At The Five Spot / August 7, 1958 (05:24)/Rhythm-A-Ning - Live At The Five Spot / August 7, 1958 (09:25)/Epistrophy - Theme / Live At The Five Spot / August 7, 1958 (01:05)/Blue Monk - Live At The Five Spot / August 7, 1958 (08:31)/Evidence - Live At The Five Spot / August 7, 1958 (08:48)/Epistrophy - Theme 2 / Live At The Five Spot / August 7, 1958 (01:05)/Unidentified Solo Piano - Live At The Five Spot / July 9, 1958 (01:54)/Blues Five Spot - Live At The Five Spot / July 9, 1958 (09:55)/In Walked Bud / Epistrophy - Live At The Five Spot / July 9, 1958 (10:57",https://i.scdn.co/image/ab67616d00001e02ad4693ff40a3c2cf884daa03,Jazz/Hard Bop/Bebop,
Thelonious Monk Quartet,"Evidence - Live At The Five Spot / August 7, 1958",Thelonious In Action,Album,1958,"Light Blue - Live At The Five Spot / August 7, 1958 (05:14)/Coming On The Hudson - Live At The Five Spot / August 7, 1958 (05:24)/Rhythm-A-Ning - Live At The Five Spot / August 7, 1958 (09:25)/Epistrophy - Theme / Live At The Five Spot / August 7, 1958 (01:05)/Blue Monk - Live At The Five Spot / August 7, 1958 (08:31)/Evidence - Live At The Five Spot / August 7, 1958 (08:48)/Epistrophy - Theme 2 / Live At The Five Spot / August 7, 1958 (01:05)/Unidentified Solo Piano - Live At The Five Spot / July 9, 1958 (01:54)/Blues Five Spot - Live At The Five Spot / July 9, 1958 (09:55)/In Walked Bud / Epistrophy - Live At The Five Spot / July 9, 1958 (10:57",https://i.scdn.co/image/ab67616d00001e02ad4693ff40a3c2cf884daa03,Jazz/Hard Bop/Bebop,
Thelonious Monk Quartet,"Epistrophy - Theme 2 / Live At The Five Spot / August 7, 1958",Thelonious In Action,Album,1958,"Light Blue - Live At The Five Spot / August 7, 1958 (05:14)/Coming On The Hudson - Live At The Five Spot / August 7, 1958 (05:24)/Rhythm-A-Ning - Live At The Five Spot / August 7, 1958 (09:25)/Epistrophy - Theme / Live At The Five Spot / August 7, 1958 (01:05)/Blue Monk - Live At The Five Spot / August 7, 1958 (08:31)/Evidence - Live At The Five Spot / August 7, 1958 (08:48)/Epistrophy - Theme 2 / Live At The Five Spot / August 7, 1958 (01:05)/Unidentified Solo Piano - Live At The Five Spot / July 9, 1958 (01:54)/Blues Five Spot - Live At The Five Spot / July 9, 1958 (09:55)/In Walked Bud / Epistrophy - Live At The Five Spot / July 9, 1958 (10:57",https://i.scdn.co/image/ab67616d00001e02ad4693ff40a3c2cf884daa03,Jazz/Hard Bop/Bebop,
Thelonious Monk Quartet,"Unidentified Solo Piano - Live At The Five Spot / July 9, 1958",Thelonious In Action,Album,1958,"Light Blue - Live At The Five Spot / August 7, 1958 (05:14)/Coming On The Hudson - Live At The Five Spot / August 7, 1958 (05:24)/Rhythm-A-Ning - Live At The Five Spot / August 7, 1958 (09:25)/Epistrophy - Theme / Live At The Five Spot / August 7, 1958 (01:05)/Blue Monk - Live At The Five Spot / August 7, 1958 (08:31)/Evidence - Live At The Five Spot / August 7, 1958 (08:48)/Epistrophy - Theme 2 / Live At The Five Spot / August 7, 1958 (01:05)/Unidentified Solo Piano - Live At The Five Spot / July 9, 1958 (01:54)/Blues Five Spot - Live At The Five Spot / July 9, 1958 (09:55)/In Walked Bud / Epistrophy - Live At The Five Spot / July 9, 1958 (10:57",https://i.scdn.co/image/ab67616d00001e02ad4693ff40a3c2cf884daa03,Jazz/Hard Bop/Bebop,
John Coltrane,Everytime We Say Goodbye,My Favorite Things,Album,1961,My Favorite Things (13:44)/Everytime We Say Goodbye (05:45)/Summertime (11:37)/But Not for Me (09:41,https://i.scdn.co/image/ab67616d00001e02c00913832628c23c7952ae7b,Jazz/Hard Bop/Free Jazz/Bebop/Cool Jazz/Jazz Blues,
John Coltrane,But Not for Me,My Favorite Things,Album,1961,My Favorite Things (13:44)/Everytime We Say Goodbye (05:45)/Summertime (11:37)/But Not for Me (09:41,https://i.scdn.co/image/ab67616d00001e02c00913832628c23c7952ae7b,Jazz/Hard Bop/Free Jazz/Bebop/Cool Jazz/Jazz Blues,
Eric Dolphy,Mrs. Parker Of K.C. (Bird's Mother),Far Cry,Album,1962,Mrs. Parker Of K.C. (Bird's Mother) (08:01)/Ode To Charlie Parker (08:42)/Far Cry (03:53)/Miss Ann (04:15)/Left Alone (06:39)/Tenderly (04:18)/It's Magic (05:39)/Serene (06:37,https://i.scdn.co/image/ab67616d00001e0277dc791795c43bcad93b9f86,Free Jazz/Jazz/Hard Bop/Bebop/Avant-garde/Latin Jazz,
Eric Dolphy,Ode To Charlie Parker,Far Cry,Album,1962,Mrs. Parker Of K.C. (Bird's Mother) (08:01)/Ode To Charlie Parker (08:42)/Far Cry (03:53)/Miss Ann (04:15)/Left Alone (06:39)/Tenderly (04:18)/It's Magic (05:39)/Serene (06:37,https://i.scdn.co/image/ab67616d00001e0277dc791795c43bcad93b9f86,Free Jazz/Jazz/Hard Bop/Bebop/Avant-garde/Latin Jazz,
